question,document,score,reasoning
entry level market research analyst israel no experience,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,good,"The answer correctly identifies the reference job as a strong match: Junior Research Analyst at StoreNext in Raanana, Israel, entry-level with no experience required, and mentions relevant skills like Excel and presentation skills. However, it also invents a second StoreNext role in Tel Aviv-Yafo that is not present in the ground truth, which is an unsupported detail. Still, the core recommendation aligns with the reference job and the main details are correct."
excel powerpoint analyst role near tel aviv area,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,good,"The AI answer correctly identifies the ground-truth job as Junior Research Analyst at StoreNext and matches the key requirements: entry-level/0+ experience, near Tel Aviv (Ra'anana/Center District), and strong emphasis on Excel and PowerPoint. It does introduce one potentially inaccurate location detail by listing Tel Aviv-Yafo for the StoreNext role before also correcting to Ra'anana, but this does not change the main recommendation. Overall, it captures the core job correctly."
business analyst trainee FMCG company raanana,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,good,"The AI answer correctly identifies StoreNext’s Junior Research Analyst as the strongest match and includes the key details from the ground truth: Ra'anana location, FMCG focus, entry-level/no experience, and relevant skills like Excel and presentation/finance knowledge. It does add extra unrelated jobs, but the core recommendation is correct and aligned with the query."
data research job for recent graduates in israel,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,good,"The AI answer correctly identifies the ground-truth job as Junior Research Analyst at StoreNext and describes it as an entry-level role for recent graduates involving data analysis, market research, POS data, and Excel. The only minor issue is that it lists extra locations not present in the reference, but that does not change the core match. The recommendation is correct."
entry level data analyst jobs in Israel economics background Excel,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,good,"The AI answer correctly identifies the ground-truth job as the best match: Junior Research Analyst at StoreNext, entry-level/no prior experience, with an economics background and Excel emphasis. It mentions the key role, company, and relevant skills, and its slight location mismatch (Raanana/Tel Aviv instead of Judean Foothills) does not undermine the core match. Extra alternative jobs are fine since the main recommendation is correct."
junior market research analyst FMCG Israel no experience,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,good,"The AI answer correctly identifies the ground-truth job as StoreNext Junior Research Analyst and captures the key match criteria: junior/entry-level, no experience required, Israel FMCG/market research, and relevant skills like Excel and presentation. It also includes the main responsibilities in a consistent way. The only minor issue is that it lists multiple locations broader than the reference (which specifies Judean Foothills, Center District, Israel), but this does not change the core correctness of the recommendation."
research analyst job center district Israel PowerPoint Excel,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,bad,"The answer does identify a Junior Research Analyst role at StoreNext and mentions the relevant skills and entry-level nature, which aligns with the ground truth. However, it gives the wrong city for the primary match: the reference job is in Judean Foothills, Center District, Israel, not Ra'anana. It also includes a second StoreNext listing in a different district, which is extra but not fatal. Since the core job/company/skills match is present, this is mostly correct despite the location inaccuracy."
business analyst for consumer goods company in Israel fresh graduate,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,good,"The AI answer correctly identifies the ground-truth job as the best match: Junior Research Analyst at StoreNext in Israel, entry-level/no experience required, aligned with consumer goods/FMCG, data analysis, market research, and presenting insights. It also notes the fresh-graduate fit and the business-analyst-type nature of the role. Extra content about another job is irrelevant but does not undermine the correct recommendation."
analyst role near Jerusalem area with Excel and presentation skills,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,good,"The AI answer identifies the correct ground-truth job: Junior Research Analyst at StoreNext, with the right entry-level nature, Excel and presentation skills, and a nearby Center District location. It does include some incorrect location details for the first listing (Tel Aviv-Yafo instead of Judean Foothills), but it still clearly recommends the matching job and emphasizes the relevant skills and experience level. Overall, the core match is correct."
junior data analyst jobs petah tikva excel,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,good,"The reference job is a Junior Research Analyst at StoreNext in Petah Tikva with 0+ experience and strong Excel requirements. The AI answer does mention this exact role and its junior/Excel focus, but it incorrectly states the city as Raanana / Tel Aviv-Yafo instead of Petah Tikva. However, the answer still includes the correct job title, company, experience level, and skills, and even notes it is the closest junior Excel-focused analyst role. Since the core recommendation is still the right job despite the location error, this is mostly correct but slightly flawed. For evaluation purposes, it should still be considered correct because it identifies the target job."
entry level market research analyst israel no experience,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,good,"The answer correctly identifies the reference job as the best match: Junior Research Analyst at StoreNext, entry-level, no prior experience required, with Excel and analytical/market research work in Israel. It does introduce some location inconsistencies (Raanana/Tel Aviv instead of Petah Tikva) and mentions extra unrelated jobs, but the core recommendation is correct and aligned with the ground truth."
economics graduate analyst role in petah tikva,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,bad,"The AI answer does not identify the reference job. The ground truth is a Junior Research Analyst at StoreNext in Petah Tikva, entry-level/no experience required, with Excel and finance/economics knowledge. The AI instead recommends unrelated roles at Samsung India and UWORK, including a different company, different role titles, and one even with 3+ years experience. This is a mismatch and fails to describe the correct job."
consumer goods data analysis jobs center district,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,good,"The AI answer correctly identifies the reference job: Junior Research Analyst at StoreNext in Petah Tikva, Center District, with FMCG/consumer goods data analysis focus and entry-level 0+ experience. It includes the key role, company, location, and relevant skills/context. The extra mention of a Raanana location appears unsupported by the ground truth, but it does not negate the correct recommendation of the reference job."
excel powerpoint research analyst full time israel,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,good,"The answer correctly identifies the ground-truth job as the best match: Junior Research Analyst at StoreNext, an entry-level research/market analysis role in Israel requiring strong Excel and PowerPoint skills. It does introduce some location detail that does not exactly match the reference (Tel Aviv-Yafo, Raanana, Judean Foothills instead of Petah Tikva), but it still recommends the correct job and captures the key points. Extra alternative jobs do not override the correct primary match."
